player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
中島宏之,0.289,77.0,251.0,225.0,65.0,5.0,34.0,13.0,7.0,0.0,87.0,0.0,0.0,21.0,3.0,38.0,1.0,8.0,0.356,0.387,0.743,30.08,0.485,0.257,4.78,0.098,0.067,29.47,4.68,0.326,0.191,0.661,0.0,0.55,オリックス,2016
原拓也,0.189,36.0,43.0,37.0,7.0,0.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,0.286,0.216,0.502,1.85,0.358,0.183,1.51,0.027,0.097,1.96,1.6,0.226,0.162,0.406,1.33,0.71,オリックス,2016
安達了一,0.219,140.0,514.0,465.0,102.0,3.0,41.0,44.0,12.0,3.0,129.0,5.0,20.0,25.0,3.0,64.0,16.0,8.0,0.261,0.277,0.538,33.81,0.354,0.187,2.3,0.058,0.042,35.86,2.44,0.236,0.144,0.457,5.22,0.39,オリックス,2016
モレル,0.276,38.0,110.0,98.0,27.0,1.0,11.0,9.0,8.0,0.0,38.0,2.0,0.0,12.0,0.0,28.0,0.0,3.0,0.355,0.388,0.742,12.46,0.484,0.256,4.43,0.112,0.079,11.92,4.23,0.377,0.214,0.632,0.0,0.43,オリックス,2016
宗佑磨,0.233,74.0,289.0,266.0,62.0,5.0,22.0,28.0,16.0,3.0,99.0,2.0,3.0,15.0,3.0,53.0,4.0,1.0,0.281,0.372,0.653,28.37,0.405,0.219,3.61,0.139,0.048,28.15,3.59,0.268,0.199,0.57,3.75,0.28,オリックス,2016
糸井嘉男,0.306,143.0,616.0,532.0,163.0,17.0,70.0,79.0,24.0,1.0,240.0,17.0,53.0,75.0,7.0,84.0,0.0,13.0,0.398,0.451,0.849,99.8,0.548,0.292,6.72,0.145,0.091,96.88,6.52,0.337,0.353,0.897,25.74,0.89,オリックス,2016
駿太,0.24,129.0,329.0,296.0,71.0,2.0,27.0,29.0,16.0,7.0,107.0,3.0,4.0,15.0,1.0,76.0,13.0,3.0,0.275,0.361,0.637,29.51,0.396,0.214,3.21,0.122,0.035,29.82,3.25,0.294,0.176,0.537,2.67,0.2,オリックス,2016
大城滉二,0.231,128.0,428.0,377.0,87.0,4.0,28.0,45.0,14.0,2.0,117.0,9.0,15.0,28.0,3.0,77.0,20.0,8.0,0.289,0.31,0.6,32.73,0.393,0.208,2.7,0.08,0.058,32.81,2.71,0.263,0.17,0.502,6.32,0.36,オリックス,2016
伊藤光,0.0,7.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.133,0.0,0.133,-1.0,0.133,0.06,-1.81,0.0,0.133,-0.84,-1.51,0.0,0.154,0.143,0.0,0.67,オリックス,2016
伏見寅威,0.274,76.0,201.0,186.0,51.0,1.0,17.0,16.0,14.0,1.0,70.0,0.0,0.0,12.0,2.0,39.0,1.0,6.0,0.325,0.376,0.701,21.41,0.45,0.24,4.07,0.102,0.051,20.18,3.84,0.34,0.167,0.596,0.0,0.31,オリックス,2016
