player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
秋親,4.88,28.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,146.0,31.1,31.0,3.0,20.0,6.0,29.0,8.33,17.0,17.0,0.0,0.0,1.63,5.0,1.45,1.56,0.741,ロッテ,2012
薮田安彦,3.34,61.0,1.0,6.0,26.0,8.0,9.0,0.0,0.143,250.0,56.2,58.0,4.0,22.0,3.0,43.0,6.83,22.0,21.0,0.0,0.0,1.41,3.53,1.95,1.15,0.785,ロッテ,2012
植松優友,7.88,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,11.0,1.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,0.0,2.25,5.75,1.14,1.88,0.667,ロッテ,2012
益田直也,3.08,70.0,2.0,6.0,3.0,17.0,19.0,0.0,0.25,264.0,64.1,44.0,6.0,27.0,3.0,61.0,8.53,26.0,22.0,0.0,0.0,1.1,3.79,2.26,1.37,0.765,ロッテ,2012
山本徹矢,5.63,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,16.0,23.0,0.0,7.0,1.0,12.0,6.75,10.0,10.0,0.0,0.0,1.88,3.12,1.71,1.19,0.677,ロッテ,2012
山室公志郎,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,7.62,0.0,1.0,1.0,ロッテ,2012
阿部和成,2.25,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,4.0,0.0,4.0,0.0,2.0,4.5,3.0,1.0,0.0,0.0,2.0,4.37,0.5,1.5,0.875,ロッテ,2012
カルロス・ロサ,4.97,29.0,1.0,3.0,0.0,11.0,12.0,0.0,0.25,126.0,29.0,33.0,4.0,11.0,0.0,21.0,6.52,16.0,16.0,0.0,0.0,1.52,4.6,1.91,1.1,0.7,ロッテ,2012
黒沢翔太,13.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,1.0,0.0,1.0,1.0,4.5,4.0,3.0,0.0,0.0,2.5,10.12,3.0,0.5,0.6,ロッテ,2012
西野勇士,6.19,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,16.0,20.0,2.0,6.0,0.0,19.0,10.69,12.0,11.0,0.0,0.0,1.63,3.5,3.17,1.56,0.625,ロッテ,2012
