player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
熊原健人,5.4,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.75,91.0,20.0,23.0,6.0,11.0,1.0,17.0,7.65,16.0,12.0,0.0,0.0,1.7,7.12,1.55,1.4,0.793,DeNA,2016
山口俊,2.86,19.0,11.0,5.0,0.0,0.0,0.0,5.0,0.688,570.0,138.2,112.0,10.0,44.0,4.0,121.0,7.85,48.0,44.0,3.0,0.0,1.13,3.35,2.75,1.19,0.773,DeNA,2016
小林寛,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,2.33,3.12,1.5,1.67,1.0,DeNA,2016
石田健大,4.97,23.0,3.0,7.0,0.0,0.0,2.0,0.0,0.3,408.0,92.1,95.0,16.0,34.0,5.0,87.0,8.48,62.0,51.0,0.0,0.0,1.4,4.63,2.56,1.31,0.703,DeNA,2016
井納翔一,3.54,24.0,6.0,3.0,1.0,8.0,10.0,0.0,0.667,256.0,61.0,60.0,5.0,16.0,2.0,44.0,6.49,27.0,24.0,0.0,0.0,1.25,3.53,2.75,0.98,0.74,DeNA,2016
加賀繁,8.1,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,10.0,14.0,2.0,0.0,0.0,9.0,8.1,9.0,9.0,0.0,0.0,1.4,3.92,2.86,0.9,0.417,DeNA,2016
三嶋一輝,3.97,60.0,7.0,2.0,0.0,15.0,22.0,0.0,0.778,292.0,68.0,61.0,8.0,31.0,2.0,82.0,10.85,30.0,30.0,0.0,0.0,1.35,3.38,2.65,1.66,0.744,DeNA,2016
三浦大輔,11.05,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,14.2,29.0,3.0,4.0,0.0,14.0,8.59,18.0,18.0,0.0,0.0,2.25,4.69,3.5,1.23,0.5,DeNA,2016
山﨑康晃,2.72,57.0,2.0,4.0,37.0,3.0,5.0,0.0,0.333,226.0,56.1,40.0,5.0,18.0,1.0,63.0,10.07,18.0,17.0,0.0,0.0,1.03,2.89,3.5,1.44,0.778,DeNA,2016
須田幸太,7.59,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,44.0,10.2,10.0,3.0,3.0,0.0,4.0,3.38,9.0,9.0,0.0,0.0,1.22,6.59,1.33,0.66,0.4,DeNA,2016
今永昇太,6.8,23.0,4.0,11.0,0.0,4.0,5.0,1.0,0.267,402.0,84.2,108.0,18.0,38.0,4.0,80.0,8.5,77.0,64.0,0.0,0.0,1.72,5.27,2.11,1.39,0.652,DeNA,2016
高崎健太郎,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,6.12,0.0,1.0,0.4,DeNA,2016
林昌範,7.23,24.0,1.0,1.0,0.0,4.0,5.0,0.0,0.5,89.0,18.2,26.0,1.0,6.0,0.0,10.0,4.82,15.0,15.0,0.0,0.0,1.71,3.55,1.67,0.86,0.548,DeNA,2016
久保康友,5.35,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.667,172.0,37.0,46.0,6.0,14.0,0.0,33.0,8.03,30.0,22.0,0.0,0.0,1.62,4.42,2.36,1.27,0.704,DeNA,2016
福地元春,12.15,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,6.2,11.0,2.0,6.0,0.0,5.0,6.75,9.0,9.0,0.0,0.0,2.55,7.32,0.83,1.65,0.533,DeNA,2016
飯塚悟史,4.74,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.143,198.0,43.2,52.0,8.0,23.0,1.0,34.0,7.01,24.0,23.0,0.0,0.0,1.72,5.39,1.48,1.31,0.779,DeNA,2016
平田真吾,6.66,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,25.2,35.0,3.0,6.0,0.0,27.0,9.47,19.0,19.0,0.0,0.0,1.6,3.24,4.5,1.29,0.579,DeNA,2016
三上朋也,3.05,65.0,1.0,1.0,0.0,25.0,26.0,0.0,0.5,239.0,56.0,55.0,3.0,20.0,3.0,40.0,6.43,19.0,19.0,0.0,0.0,1.34,3.41,2.0,1.07,0.787,DeNA,2016
大原慎司,4.97,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,12.2,15.0,4.0,6.0,2.0,14.0,9.95,7.0,7.0,0.0,0.0,1.66,6.67,2.33,1.58,0.842,DeNA,2016
安部建輝,2.89,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,9.1,6.0,1.0,6.0,0.0,6.0,5.79,3.0,3.0,0.0,0.0,1.29,5.16,1.0,1.29,0.818,DeNA,2016
綾部翔,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,4.0,0.0,2.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.2,2.32,2.5,1.4,1.0,DeNA,2016
田中健二朗,6.57,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,54.0,12.1,14.0,2.0,6.0,0.0,14.0,10.22,9.0,9.0,0.0,0.0,1.62,4.17,2.33,1.62,0.611,DeNA,2016
砂田毅樹,3.61,70.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,227.0,52.1,44.0,4.0,25.0,5.0,44.0,7.57,22.0,21.0,0.0,0.0,1.32,3.81,1.76,1.32,0.757,DeNA,2016
モスコーソ,5.18,13.0,5.0,7.0,0.0,0.0,0.0,1.0,0.417,342.0,80.0,88.0,15.0,19.0,0.0,65.0,7.31,47.0,46.0,0.0,0.0,1.34,4.61,3.42,1.05,0.663,DeNA,2016
エレラ,2.96,52.0,5.0,4.0,0.0,22.0,27.0,0.0,0.556,211.0,51.2,44.0,2.0,15.0,2.0,53.0,9.23,17.0,17.0,0.0,0.0,1.14,2.44,3.53,1.32,0.746,DeNA,2016
小杉陽太,3.71,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,26.2,26.0,3.0,10.0,1.0,19.0,6.41,12.0,11.0,0.0,0.0,1.35,4.17,1.9,1.09,0.765,DeNA,2016
長田秀一郎,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,8.0,0.0,3.0,1.0,3.0,6.75,4.0,4.0,0.0,0.0,2.75,4.62,1.0,1.5,0.667,DeNA,2016
野川拓斗,2.57,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,7.0,0.0,6.0,1.0,7.0,9.0,6.0,2.0,0.0,0.0,1.86,4.12,1.17,1.86,0.857,DeNA,2016
