player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
柴原洋,0.077,11.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.077,0.077,0.154,-0.73,0.103,0.054,-1.65,0.0,0.0,-0.62,-1.4,0.125,0.0,0.083,1.6,0.0,ソフトバンク,2009
松中信彦,0.067,9.0,16.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.125,0.067,0.192,-0.66,0.147,0.073,-1.26,0.0,0.058,-0.49,-0.95,0.167,0.067,0.143,1.6,0.11,ソフトバンク,2009
アギーラ,0.095,14.0,48.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,16.0,0.0,3.0,0.208,0.095,0.304,-1.03,0.24,0.118,-0.68,0.0,0.113,-0.62,-0.41,0.154,0.143,0.244,0.0,0.38,ソフトバンク,2009
松田宣浩,0.248,143.0,580.0,517.0,128.0,32.0,82.0,72.0,21.0,3.0,251.0,3.0,3.0,56.0,4.0,113.0,0.0,12.0,0.324,0.485,0.81,79.63,0.486,0.267,5.28,0.238,0.077,80.7,5.35,0.256,0.346,0.77,5.49,0.5,ソフトバンク,2009
多村仁志,0.25,79.0,218.0,200.0,50.0,4.0,20.0,16.0,9.0,1.0,73.0,1.0,0.0,18.0,0.0,43.0,0.0,7.0,0.312,0.365,0.677,20.91,0.434,0.232,3.57,0.115,0.062,20.65,3.53,0.301,0.2,0.57,0.0,0.42,ソフトバンク,2009
立岡宗一郎,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ソフトバンク,2009
江川智晃,0.6,5.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,1.4,2.0,2.81,1.067,0.62,37.98,0.8,0.0,2.46,33.21,1.0,0.8,3.5,0.0,0.0,ソフトバンク,2009
小久保裕紀,0.239,103.0,357.0,331.0,79.0,4.0,34.0,20.0,11.0,0.0,102.0,0.0,0.0,20.0,0.0,67.0,3.0,6.0,0.28,0.308,0.588,27.34,0.382,0.203,2.8,0.069,0.041,28.27,2.89,0.282,0.13,0.473,0.0,0.3,ソフトバンク,2009
本間満,0.25,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.5,0.21,0.333,0.175,1.89,0.0,0.0,0.21,1.89,0.5,0.0,0.333,0.0,0.0,ソフトバンク,2009
高谷裕亮,0.175,93.0,192.0,171.0,30.0,1.0,16.0,14.0,6.0,1.0,41.0,1.0,0.0,13.0,0.0,31.0,8.0,2.0,0.234,0.24,0.473,7.95,0.314,0.165,1.41,0.064,0.058,8.54,1.52,0.197,0.135,0.368,0.0,0.42,ソフトバンク,2009
城所龍磨,0.167,41.0,26.0,24.0,4.0,1.0,2.0,8.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,9.0,1.0,0.0,0.2,0.333,0.533,1.7,0.311,0.173,2.08,0.167,0.033,1.89,2.32,0.2,0.292,0.524,1.5,0.11,ソフトバンク,2009
中西健太,0.125,6.0,9.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.125,0.125,0.25,-0.15,0.167,0.088,-0.5,0.0,0.0,-0.1,-0.34,0.125,0.0,0.143,0.0,0.0,ソフトバンク,2009
長谷川勇也,0.287,55.0,112.0,101.0,29.0,5.0,20.0,15.0,6.0,0.0,50.0,0.0,0.0,9.0,1.0,18.0,0.0,3.0,0.348,0.495,0.843,16.7,0.513,0.28,5.93,0.208,0.061,16.29,5.79,0.304,0.297,0.8,0.0,0.5,ソフトバンク,2009
森本学,0.2,15.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.4,0.11,0.267,0.14,0.77,0.0,0.0,0.13,0.88,0.25,0.0,0.25,1.33,0.0,ソフトバンク,2009
村松有人,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-2.7,0.0,0.0,-0.09,-2.43,0.0,0.0,0.0,0.0,0.6,ソフトバンク,2009
明石健志,0.282,45.0,115.0,103.0,29.0,1.0,12.0,16.0,5.0,3.0,43.0,1.0,2.0,11.0,1.0,21.0,0.0,0.0,0.357,0.417,0.774,16.11,0.496,0.265,5.8,0.136,0.075,15.36,5.53,0.346,0.252,0.747,1.33,0.52,ソフトバンク,2009
福田秀平,0.263,110.0,128.0,118.0,31.0,7.0,15.0,28.0,6.0,0.0,58.0,1.0,6.0,4.0,2.0,35.0,4.0,6.0,0.298,0.492,0.79,16.07,0.462,0.257,4.43,0.229,0.036,16.03,4.42,0.3,0.305,0.734,6.46,0.11,ソフトバンク,2009
堂上隼人,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-2.7,0.0,0.0,-0.09,-2.43,0.0,0.0,0.0,0.0,0.0,ソフトバンク,2009
李杜軒,0.111,5.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.111,0.111,0.222,-0.34,0.148,0.078,-1.14,0.0,0.0,-0.27,-0.91,0.333,0.0,0.125,0.0,0.0,ソフトバンク,2009
本多雄一,0.259,33.0,101.0,85.0,22.0,1.0,8.0,15.0,3.0,2.0,32.0,1.0,5.0,8.0,0.0,17.0,5.0,1.0,0.313,0.376,0.689,11.43,0.438,0.235,4.23,0.118,0.054,12.11,4.48,0.28,0.259,0.677,1.67,0.47,ソフトバンク,2009
オーティズ,0.215,80.0,205.0,186.0,40.0,7.0,15.0,11.0,9.0,0.0,70.0,1.0,0.0,16.0,1.0,44.0,0.0,8.0,0.278,0.376,0.654,17.21,0.403,0.219,2.96,0.161,0.063,18.22,3.13,0.241,0.242,0.555,0.0,0.36,ソフトバンク,2009
荒金久雄,0.273,16.0,11.0,11.0,3.0,1.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.273,0.545,0.818,1.66,0.455,0.259,5.62,0.273,0.0,1.7,5.74,0.25,0.273,0.75,0.0,0.0,ソフトバンク,2009
川崎宗則,0.267,144.0,655.0,603.0,161.0,1.0,37.0,71.0,19.0,7.0,197.0,10.0,31.0,36.0,3.0,84.0,9.0,5.0,0.31,0.327,0.636,65.12,0.418,0.221,3.74,0.06,0.043,64.58,3.71,0.301,0.154,0.562,1.94,0.43,ソフトバンク,2009
金子圭輔,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,-2.87,0.0,0.0,-0.48,-2.59,0.0,0.0,0.0,0.0,0.0,ソフトバンク,2009
小斉祐輔,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-2.7,0.0,0.0,-0.09,-2.43,0.0,0.0,0.0,0.0,0.15,ソフトバンク,2009
辻武史,0.125,23.0,16.0,16.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.125,0.125,0.25,-0.24,0.167,0.088,-0.47,0.0,0.0,-0.13,-0.25,0.2,0.063,0.214,0.0,0.0,ソフトバンク,2009
中村晃,0.292,136.0,580.0,506.0,148.0,14.0,57.0,57.0,28.0,1.0,220.0,1.0,1.0,60.0,5.0,68.0,3.0,5.0,0.369,0.435,0.804,84.6,0.514,0.275,6.12,0.142,0.077,83.19,6.02,0.309,0.261,0.783,1.87,0.88,ソフトバンク,2009
山崎勝己,0.252,91.0,168.0,139.0,35.0,1.0,20.0,14.0,8.0,1.0,48.0,0.0,0.0,10.0,4.0,30.0,12.0,0.0,0.314,0.345,0.659,17.09,0.429,0.228,3.88,0.094,0.062,17.4,3.95,0.276,0.165,0.596,0.0,0.33,ソフトバンク,2009
