player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
矢崎拓也,5.63,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,10.0,2.0,6.0,0.0,11.0,12.38,5.0,5.0,0.0,0.0,2.0,5.87,1.83,2.13,0.786,広島,2019
大瀬良大地,2.62,27.0,15.0,7.0,0.0,0.0,0.0,2.0,0.682,727.0,182.0,143.0,22.0,41.0,4.0,159.0,7.86,65.0,53.0,0.0,1.0,1.01,3.65,3.88,1.1,0.813,広島,2019
今村猛,5.17,43.0,3.0,2.0,1.0,13.0,16.0,0.0,0.6,173.0,38.1,37.0,5.0,21.0,1.0,35.0,8.22,26.0,22.0,0.0,0.0,1.51,4.63,1.67,1.46,0.685,広島,2019
岡田明丈,5.09,26.0,8.0,7.0,0.0,1.0,1.0,0.0,0.533,603.0,138.0,137.0,13.0,62.0,4.0,114.0,7.43,84.0,78.0,0.0,0.0,1.44,4.11,1.84,1.28,0.658,広島,2019
野村祐輔,4.22,20.0,7.0,6.0,0.0,0.0,0.0,0.0,0.538,514.0,119.1,136.0,10.0,30.0,2.0,60.0,4.53,62.0,56.0,0.0,0.0,1.39,4.01,2.0,0.75,0.709,広島,2019
永川勝浩,4.82,22.0,2.0,0.0,0.0,5.0,7.0,0.0,1.0,81.0,18.2,19.0,2.0,5.0,1.0,13.0,6.27,11.0,10.0,0.0,0.0,1.29,4.08,2.6,0.96,0.652,広島,2019
中﨑翔太,2.71,68.0,4.0,2.0,32.0,6.0,10.0,0.0,0.667,293.0,66.1,66.0,7.0,29.0,1.0,56.0,7.6,23.0,20.0,0.0,0.0,1.43,4.02,1.93,1.28,0.854,広島,2019
薮田和樹,5.74,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.667,134.0,26.2,28.0,4.0,32.0,1.0,18.0,6.08,22.0,17.0,0.0,0.0,2.25,7.43,0.56,1.88,0.772,広島,2019
横山弘樹,5.47,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,123.0,26.1,30.0,3.0,12.0,5.0,17.0,5.81,19.0,16.0,0.0,0.0,1.59,5.25,1.42,1.1,0.705,広島,2019
中田廉,13.14,15.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,67.0,12.1,22.0,2.0,8.0,0.0,12.0,8.76,19.0,18.0,0.0,0.0,2.43,4.5,1.5,1.62,0.429,広島,2019
床田寛樹,5.19,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,71.0,17.1,16.0,2.0,3.0,0.0,16.0,8.31,10.0,10.0,0.0,0.0,1.1,3.29,5.33,1.1,0.529,広島,2019
ケムナ誠,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,4.12,1.0,2.0,1.0,広島,2019
一岡竜司,2.88,59.0,5.0,6.0,2.0,18.0,23.0,0.0,0.455,238.0,56.1,46.0,7.0,22.0,0.0,61.0,9.75,20.0,18.0,0.0,0.0,1.21,3.63,2.77,1.47,0.82,広島,2019
高橋昂也,9.43,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.333,110.0,21.0,30.0,5.0,16.0,0.0,17.0,7.29,23.0,22.0,0.0,0.0,2.19,6.88,1.06,1.57,0.585,広島,2019
塹江敦哉,11.37,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,6.1,6.0,2.0,4.0,1.0,6.0,8.53,8.0,8.0,0.0,0.0,1.58,7.7,1.5,1.58,0.333,広島,2019
飯田哲矢,6.23,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,13.0,17.0,3.0,6.0,0.0,16.0,11.08,9.0,9.0,0.0,0.0,1.77,4.81,2.67,1.69,0.7,広島,2019
藤井皓哉,6.14,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,73.0,14.2,20.0,2.0,7.0,1.0,21.0,12.89,11.0,10.0,0.0,0.0,1.84,3.46,3.0,1.91,0.692,広島,2019
ジョンソン,3.11,24.0,11.0,5.0,0.0,0.0,0.0,0.0,0.688,609.0,144.2,137.0,9.0,48.0,5.0,113.0,7.03,55.0,50.0,0.0,0.0,1.28,3.38,2.35,1.11,0.773,広島,2019
島内颯太郎,4.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,28.2,19.0,1.0,19.0,2.0,33.0,10.36,15.0,14.0,0.0,0.0,1.33,3.36,1.74,1.81,0.667,広島,2019
高橋樹也,5.91,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,102.0,21.1,31.0,4.0,7.0,1.0,17.0,7.17,16.0,14.0,0.0,0.0,1.78,4.95,2.43,1.13,0.714,広島,2019
山口翔,4.85,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,117.0,26.0,25.0,3.0,13.0,3.0,21.0,7.27,14.0,14.0,0.0,0.0,1.46,4.74,1.62,1.31,0.711,広島,2019
