player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
後藤光尊,0.243,69.0,271.0,255.0,62.0,3.0,16.0,17.0,9.0,0.0,80.0,4.0,1.0,11.0,3.0,41.0,1.0,7.0,0.281,0.314,0.595,19.24,0.386,0.205,2.52,0.071,0.038,19.49,2.55,0.277,0.102,0.446,1.5,0.27,オリックス,2013
原拓也,0.189,36.0,43.0,37.0,7.0,0.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,0.286,0.216,0.502,1.85,0.358,0.183,1.51,0.027,0.097,1.96,1.6,0.226,0.162,0.406,1.33,0.71,オリックス,2013
安達了一,0.219,140.0,514.0,465.0,102.0,3.0,41.0,44.0,12.0,3.0,129.0,5.0,20.0,25.0,3.0,64.0,16.0,8.0,0.261,0.277,0.538,33.81,0.354,0.187,2.3,0.058,0.042,35.86,2.44,0.236,0.144,0.457,5.22,0.39,オリックス,2013
ロッティーノ,0.206,37.0,111.0,97.0,20.0,4.0,8.0,7.0,5.0,0.0,37.0,2.0,1.0,11.0,2.0,18.0,0.0,2.0,0.297,0.381,0.679,10.69,0.424,0.229,3.52,0.175,0.091,11.38,3.75,0.211,0.278,0.605,1.6,0.61,オリックス,2013
平野恵一,0.262,29.0,123.0,107.0,28.0,0.0,5.0,12.0,4.0,0.0,32.0,0.0,1.0,11.0,1.0,11.0,3.0,1.0,0.333,0.299,0.632,12.04,0.433,0.225,3.87,0.037,0.072,11.97,3.85,0.28,0.15,0.563,0.0,1.0,オリックス,2013
高橋信二,0.2,10.0,32.0,30.0,6.0,0.0,0.0,3.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.25,0.267,0.517,1.95,0.339,0.179,2.19,0.067,0.05,1.94,2.18,0.222,0.133,0.417,1.0,0.67,オリックス,2013
糸井嘉男,0.306,143.0,616.0,532.0,163.0,17.0,70.0,79.0,24.0,1.0,240.0,17.0,53.0,75.0,7.0,84.0,0.0,13.0,0.398,0.451,0.849,99.8,0.548,0.292,6.72,0.145,0.091,96.88,6.52,0.337,0.353,0.897,25.74,0.89,オリックス,2013
駿太,0.24,129.0,329.0,296.0,71.0,2.0,27.0,29.0,16.0,7.0,107.0,3.0,4.0,15.0,1.0,76.0,13.0,3.0,0.275,0.361,0.637,29.51,0.396,0.214,3.21,0.122,0.035,29.82,3.25,0.294,0.176,0.537,2.67,0.2,オリックス,2013
坂口智隆,0.262,36.0,121.0,107.0,28.0,1.0,5.0,8.0,7.0,0.0,38.0,0.0,1.0,12.0,0.0,18.0,1.0,1.0,0.333,0.355,0.688,13.69,0.452,0.239,4.51,0.093,0.072,13.53,4.46,0.3,0.215,0.638,1.0,0.67,オリックス,2013
李大浩,0.303,141.0,593.0,521.0,158.0,24.0,91.0,60.0,27.0,0.0,257.0,0.0,0.0,64.0,6.0,80.0,0.0,20.0,0.384,0.493,0.878,93.74,0.549,0.296,6.57,0.19,0.081,90.97,6.38,0.32,0.313,0.854,0.0,0.8,オリックス,2013
伊藤光,0.0,7.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.133,0.0,0.133,-1.0,0.133,0.06,-1.81,0.0,0.133,-0.84,-1.51,0.0,0.154,0.143,0.0,0.67,オリックス,2013
伏見寅威,0.274,76.0,201.0,186.0,51.0,1.0,17.0,16.0,14.0,1.0,70.0,0.0,0.0,12.0,2.0,39.0,1.0,6.0,0.325,0.376,0.701,21.41,0.45,0.24,4.07,0.102,0.051,20.18,3.84,0.34,0.167,0.596,0.0,0.31,オリックス,2013
宮崎祐樹,0.252,43.0,148.0,131.0,33.0,0.0,14.0,13.0,4.0,1.0,39.0,4.0,3.0,13.0,1.0,25.0,3.0,3.0,0.324,0.298,0.622,12.0,0.423,0.22,3.0,0.046,0.072,11.93,2.98,0.303,0.137,0.495,0.0,0.52,オリックス,2013
竹原直隆,0.267,41.0,88.0,75.0,20.0,2.0,13.0,9.0,8.0,0.0,34.0,0.0,0.0,12.0,1.0,14.0,0.0,2.0,0.375,0.453,0.828,12.84,0.526,0.282,6.08,0.187,0.108,12.26,5.81,0.305,0.347,0.825,0.0,0.86,オリックス,2013
