player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
岩崎達郎,0.1,36.0,24.0,20.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.182,0.1,0.282,-0.42,0.215,0.107,-0.54,0.0,0.082,-0.25,-0.32,0.105,0.1,0.211,1.5,0.67,中日,2009
澤井道久,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.31,0.0,0.0,-2.77,0.0,0.0,-0.28,-2.52,0.0,0.0,0.0,0.0,0.0,中日,2009
中村一生,0.0,7.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-1.71,0.0,0.0,-0.2,-1.35,0.0,0.25,0.25,0.0,0.0,中日,2009
小田幸平,0.063,17.0,17.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.063,0.063,0.125,-1.68,0.083,0.044,-2.52,0.0,0.0,-1.6,-2.4,0.091,0.0,0.059,0.0,0.0,中日,2009
柳田殖生,0.219,24.0,32.0,32.0,7.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.219,0.25,0.469,1.39,0.302,0.161,1.5,0.031,0.0,1.41,1.52,0.292,0.031,0.32,0.0,0.0,中日,2009
福田永将,0.261,133.0,487.0,440.0,115.0,13.0,63.0,50.0,22.0,1.0,178.0,0.0,0.0,37.0,5.0,119.0,0.0,13.0,0.322,0.405,0.727,55.61,0.457,0.246,4.38,0.143,0.061,56.13,4.42,0.326,0.227,0.651,0.0,0.31,中日,2009
中村公治,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.333,0.0,0.333,0.16,0.333,0.15,1.41,0.0,0.333,0.19,1.71,0.0,0.0,0.5,0.0,0.0,中日,2009
デラロサ,0.236,32.0,65.0,55.0,13.0,0.0,3.0,3.0,2.0,0.0,15.0,1.0,0.0,8.0,1.0,16.0,0.0,0.0,0.338,0.273,0.611,5.76,0.429,0.22,3.54,0.036,0.102,6.14,3.77,0.325,0.164,0.535,0.0,0.5,中日,2009
小川将俊,0.333,5.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,0.33,0.444,0.233,4.43,0.0,0.0,0.31,4.19,0.5,0.0,0.5,0.0,0.0,中日,2009
堂上剛裕,0.2,6.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2,0.2,0.4,0.1,0.267,0.14,0.65,0.0,0.0,0.12,0.81,0.5,0.0,0.25,0.0,0.0,中日,2009
小山桂司,0.28,51.0,102.0,82.0,23.0,1.0,10.0,7.0,4.0,1.0,32.0,0.0,1.0,16.0,0.0,31.0,3.0,0.0,0.394,0.39,0.784,14.54,0.524,0.275,6.23,0.11,0.113,14.41,6.18,0.407,0.317,0.831,1.0,0.52,中日,2009
