player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
山岡泰輔,3.95,30.0,7.0,12.0,0.0,4.0,4.0,1.0,0.368,619.0,146.0,137.0,21.0,49.0,6.0,121.0,7.46,71.0,64.0,1.0,0.0,1.27,4.44,2.47,1.16,0.749,オリックス,2019
吉田一将,3.83,58.0,3.0,4.0,0.0,21.0,24.0,0.0,0.429,233.0,56.1,47.0,4.0,18.0,3.0,53.0,8.47,24.0,24.0,0.0,0.0,1.15,3.07,2.94,1.26,0.688,オリックス,2019
荒西祐大,5.57,13.0,1.0,4.0,0.0,0.0,0.0,0.0,0.2,221.0,51.2,55.0,6.0,18.0,2.0,42.0,7.32,32.0,32.0,0.0,0.0,1.41,4.17,2.33,1.16,0.623,オリックス,2019
増井浩俊,2.49,63.0,2.0,5.0,35.0,9.0,11.0,0.0,0.286,278.0,65.0,55.0,4.0,33.0,1.0,69.0,9.55,18.0,18.0,0.0,0.0,1.35,3.18,2.09,1.57,0.835,オリックス,2019
岸田護,2.35,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,15.1,13.0,0.0,2.0,0.0,14.0,8.22,4.0,4.0,0.0,0.0,0.98,1.69,7.0,1.04,0.733,オリックス,2019
近藤大亮,3.33,52.0,3.0,3.0,0.0,9.0,12.0,0.0,0.5,223.0,54.0,34.0,7.0,27.0,0.0,52.0,8.67,21.0,20.0,0.0,0.0,1.13,4.16,1.93,1.46,0.759,オリックス,2019
竹安大知,4.5,10.0,3.0,2.0,0.0,0.0,0.0,1.0,0.6,234.0,54.0,63.0,5.0,17.0,5.0,37.0,6.17,28.0,27.0,1.0,0.0,1.48,4.18,2.18,1.0,0.725,オリックス,2019
東明大貴,2.27,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.2,153.0,39.2,35.0,1.0,3.0,1.0,24.0,5.45,10.0,10.0,0.0,0.0,0.96,2.54,8.0,0.68,0.763,オリックス,2019
アルバース,3.08,19.0,9.0,2.0,0.0,0.0,0.0,0.0,0.818,455.0,114.0,105.0,10.0,21.0,2.0,83.0,6.55,40.0,39.0,0.0,0.0,1.11,3.41,3.95,0.91,0.754,オリックス,2019
富山凌雅,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,1.0,0.0,オリックス,2019
田嶋大樹,4.06,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.667,291.0,68.2,60.0,9.0,24.0,4.0,69.0,9.04,33.0,31.0,0.0,0.0,1.22,4.04,2.88,1.35,0.722,オリックス,2019
Ｋ－鈴木,8.59,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.1,11.0,3.0,9.0,0.0,2.0,2.45,9.0,7.0,0.0,0.0,2.73,11.57,0.22,1.5,0.765,オリックス,2019
ディクソン,3.55,18.0,4.0,6.0,0.0,0.0,0.0,1.0,0.4,414.0,99.0,90.0,7.0,30.0,5.0,84.0,7.64,40.0,39.0,1.0,0.0,1.21,3.4,2.8,1.15,0.729,オリックス,2019
比嘉幹貴,2.04,43.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,135.0,35.1,25.0,3.0,7.0,3.0,22.0,5.6,10.0,8.0,0.0,0.0,0.91,3.4,3.14,0.82,0.844,オリックス,2019
小林慶祐,11.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,9.0,20.0,4.0,5.0,0.0,9.0,9.0,13.0,11.0,0.0,0.0,2.78,8.56,1.8,1.56,0.667,オリックス,2019
エップラー,4.02,24.0,4.0,4.0,0.0,3.0,7.0,0.0,0.5,137.0,31.1,41.0,2.0,9.0,0.0,25.0,7.18,16.0,14.0,0.0,0.0,1.6,3.12,2.78,1.09,0.75,オリックス,2019
山本由伸,2.89,54.0,4.0,2.0,1.0,32.0,36.0,0.0,0.667,213.0,53.0,40.0,4.0,16.0,2.0,46.0,7.81,19.0,17.0,0.0,0.0,1.06,3.33,2.88,1.17,0.759,オリックス,2019
