player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
髙橋優貴,3.19,18.0,5.0,7.0,0.0,0.0,0.0,0.0,0.417,395.0,93.0,70.0,14.0,48.0,5.0,89.0,8.61,34.0,33.0,0.0,0.0,1.27,4.84,1.85,1.47,0.826,巨人,2019
森福允彦,13.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,9.62,2.57,0.0,0.333,巨人,2019
澤村拓一,4.64,49.0,1.0,6.0,0.0,24.0,25.0,0.0,0.143,238.0,52.1,55.0,4.0,27.0,3.0,54.0,9.29,29.0,27.0,0.0,0.0,1.57,3.6,2.0,1.55,0.716,巨人,2019
大竹寛,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,42.0,9.0,13.0,2.0,2.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,1.67,5.56,2.5,0.78,0.692,巨人,2019
菅野智之,2.14,28.0,15.0,8.0,0.0,0.0,0.0,10.0,0.652,801.0,202.0,166.0,14.0,37.0,3.0,200.0,8.91,52.0,48.0,8.0,4.0,1.0,2.62,5.41,1.17,0.823,巨人,2019
上原浩治,3.63,36.0,0.0,5.0,0.0,14.0,14.0,0.0,0.0,139.0,34.2,32.0,5.0,5.0,2.0,24.0,6.23,14.0,14.0,0.0,0.0,1.07,4.22,4.8,0.84,0.735,巨人,2019
マシソン,2.97,34.0,0.0,3.0,8.0,14.0,14.0,0.0,0.0,133.0,33.1,21.0,3.0,13.0,1.0,41.0,11.07,12.0,11.0,0.0,0.0,1.02,3.0,3.15,1.62,0.75,巨人,2019
野上亮磨,4.79,25.0,4.0,4.0,0.0,1.0,1.0,0.0,0.5,300.0,71.1,74.0,15.0,21.0,2.0,54.0,6.81,38.0,38.0,0.0,0.0,1.33,5.22,2.57,1.05,0.72,巨人,2019
クック,4.8,13.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,67.0,15.0,19.0,2.0,6.0,0.0,9.0,5.4,8.0,8.0,0.0,0.0,1.67,4.85,1.5,1.0,0.739,巨人,2019
田口麗斗,4.8,16.0,2.0,8.0,0.0,0.0,0.0,1.0,0.2,396.0,86.1,113.0,13.0,27.0,6.0,60.0,6.25,52.0,46.0,0.0,0.0,1.62,4.76,2.22,1.01,0.752,巨人,2019
鍬原拓也,6.83,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.333,123.0,27.2,23.0,6.0,17.0,3.0,35.0,11.39,22.0,21.0,0.0,0.0,1.45,5.47,2.06,1.88,0.595,巨人,2019
宮國椋丞,1.97,29.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,133.0,32.0,27.0,4.0,10.0,3.0,25.0,7.03,8.0,7.0,0.0,0.0,1.16,4.4,2.5,1.09,0.917,巨人,2019
畠世周,2.79,9.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,41.0,9.2,10.0,0.0,2.0,0.0,10.0,9.31,3.0,3.0,0.0,0.0,1.24,1.67,5.0,1.24,0.75,巨人,2019
鍵谷陽平,3.0,27.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,117.0,27.0,21.0,4.0,18.0,0.0,11.0,3.67,11.0,9.0,0.0,0.0,1.44,5.9,0.61,1.07,0.857,巨人,2019
