player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
岸孝之,2.72,23.0,11.0,4.0,0.0,0.0,0.0,4.0,0.733,625.0,159.0,127.0,21.0,29.0,8.0,159.0,9.0,52.0,48.0,1.0,1.0,0.98,3.48,5.48,1.18,0.811,楽天,2019
近藤弘樹,6.83,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130.0,29.0,35.0,5.0,9.0,1.0,15.0,4.66,22.0,22.0,0.0,0.0,1.52,5.26,1.67,0.83,0.575,楽天,2019
則本昂大,3.69,27.0,10.0,11.0,0.0,0.0,1.0,4.0,0.476,759.0,180.1,171.0,18.0,51.0,3.0,187.0,9.33,78.0,74.0,1.0,0.0,1.23,3.21,3.67,1.32,0.729,楽天,2019
美馬学,4.56,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.25,340.0,79.0,88.0,12.0,23.0,3.0,41.0,4.67,42.0,40.0,0.0,0.0,1.41,4.97,1.78,0.81,0.725,楽天,2019
森雄大,2.37,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.0,17.0,2.0,11.0,0.0,9.0,4.26,6.0,5.0,0.0,0.0,1.47,5.28,0.82,1.05,0.885,楽天,2019
塩見貴洋,3.56,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.4,278.0,68.1,71.0,8.0,8.0,2.0,53.0,6.98,30.0,27.0,0.0,1.0,1.16,3.53,6.63,0.89,0.74,楽天,2019
藤平尚真,4.43,14.0,4.0,7.0,0.0,0.0,0.0,1.0,0.364,361.0,81.1,65.0,17.0,54.0,3.0,68.0,7.52,43.0,40.0,0.0,0.0,1.46,6.23,1.26,1.5,0.781,楽天,2019
安樂智大,10.13,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,8.0,14.0,1.0,2.0,1.0,2.0,2.25,10.0,9.0,0.0,0.0,2.0,5.37,1.0,0.5,0.5,楽天,2019
釜田佳直,8.53,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0,12.2,14.0,1.0,14.0,2.0,9.0,6.39,12.0,12.0,0.0,0.0,2.21,6.04,0.64,1.82,0.621,楽天,2019
戸村健次,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,19.12,0.0,1.0,0.667,楽天,2019
弓削隼人,3.74,8.0,3.0,3.0,0.0,0.0,0.0,1.0,0.5,172.0,43.1,40.0,5.0,9.0,2.0,34.0,7.06,18.0,18.0,1.0,0.0,1.13,3.81,3.78,0.99,0.717,楽天,2019
小野郁,3.48,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,10.1,9.0,1.0,4.0,2.0,9.0,7.84,4.0,4.0,0.0,0.0,1.26,4.38,2.25,1.26,0.786,楽天,2019
池田隆英,5.91,15.0,1.0,5.0,0.0,4.0,4.0,0.0,0.167,206.0,42.2,60.0,4.0,21.0,0.0,24.0,5.06,33.0,28.0,0.0,0.0,1.9,4.55,1.14,1.05,0.688,楽天,2019
福井優也,5.18,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.75,150.0,33.0,31.0,3.0,24.0,2.0,20.0,5.45,19.0,19.0,0.0,0.0,1.67,5.45,0.83,1.33,0.704,楽天,2019
ブセニッツ,1.94,54.0,4.0,3.0,0.0,28.0,32.0,0.0,0.571,220.0,51.0,46.0,1.0,20.0,5.0,45.0,7.94,15.0,11.0,0.0,0.0,1.29,3.08,2.25,1.27,0.857,楽天,2019
西宮悠介,3.86,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.0,9.1,7.0,1.0,9.0,1.0,10.0,9.64,4.0,4.0,0.0,0.0,1.71,5.58,1.11,2.04,0.813,楽天,2019
青山浩二,1.85,52.0,4.0,1.0,0.0,26.0,30.0,0.0,0.8,200.0,48.2,35.0,2.0,21.0,4.0,37.0,6.84,11.0,10.0,0.0,0.0,1.15,3.55,1.76,1.19,0.862,楽天,2019
ハーマン,1.99,47.0,2.0,3.0,18.0,12.0,14.0,0.0,0.4,183.0,45.1,36.0,2.0,17.0,2.0,44.0,8.74,13.0,10.0,0.0,0.0,1.17,2.88,2.59,1.35,0.849,楽天,2019
宋家豪,1.73,40.0,5.0,3.0,0.0,6.0,11.0,0.0,0.625,167.0,41.2,26.0,5.0,21.0,0.0,38.0,8.21,9.0,8.0,0.0,0.0,1.13,4.01,1.81,1.42,0.929,楽天,2019
菅原秀,7.33,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,23.1,22.0,5.0,13.0,0.0,17.0,6.56,20.0,19.0,0.0,0.0,1.5,6.12,1.31,1.29,0.533,楽天,2019
渡邊佑樹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,2.0,3.12,1.5,5.0,1.0,楽天,2019
森原康平,5.82,17.0,1.0,2.0,0.0,1.0,2.0,0.0,0.333,73.0,17.0,18.0,1.0,3.0,0.0,19.0,10.06,11.0,11.0,0.0,0.0,1.24,2.0,6.33,1.29,0.5,楽天,2019
高梨雄平,2.44,70.0,1.0,4.0,1.0,16.0,17.0,0.0,0.2,212.0,48.0,38.0,1.0,23.0,6.0,53.0,9.94,21.0,13.0,0.0,0.0,1.27,2.75,2.3,1.58,0.818,楽天,2019
辛島航,4.05,23.0,4.0,9.0,1.0,0.0,0.0,0.0,0.308,508.0,117.2,120.0,12.0,46.0,7.0,99.0,7.57,55.0,53.0,0.0,0.0,1.41,4.09,2.15,1.23,0.745,楽天,2019
熊原健人,5.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.1,4.0,1.0,3.0,0.0,3.0,8.1,2.0,2.0,0.0,0.0,2.1,7.92,1.0,1.8,0.833,楽天,2019
西口直人,2.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.2,5.0,1.0,1.0,0.0,3.0,3.52,2.0,2.0,0.0,0.0,0.78,4.42,3.0,0.52,0.8,楽天,2019
由規,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,-0.88,0.0,2.0,0.0,楽天,2019
福山博之,6.75,21.0,1.0,2.0,0.0,3.0,4.0,0.0,0.333,100.0,21.1,28.0,1.0,14.0,0.0,4.0,1.69,16.0,16.0,0.0,0.0,1.97,4.9,0.29,0.84,0.634,楽天,2019
寺岡寛治,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6.0,1.0,0.0,0.0,2.0,6.0,3.0,3.0,0.0,0.0,2.0,6.12,0.0,0.67,0.6,楽天,2019
