player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
森山周,0.154,18.0,27.0,26.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.185,0.154,0.339,0.0,0.236,0.122,0.0,0.0,0.031,0.15,0.18,0.167,0.077,0.261,0.0,0.5,オリックス,2009
後藤光尊,0.243,69.0,271.0,255.0,62.0,3.0,16.0,17.0,9.0,0.0,80.0,4.0,1.0,11.0,3.0,41.0,1.0,7.0,0.281,0.314,0.595,19.24,0.386,0.205,2.52,0.071,0.038,19.49,2.55,0.277,0.102,0.446,1.5,0.27,オリックス,2009
フェルナンデス,0.188,25.0,85.0,80.0,15.0,1.0,4.0,4.0,2.0,0.0,20.0,0.0,0.0,4.0,1.0,13.0,0.0,4.0,0.235,0.25,0.485,2.85,0.319,0.168,1.11,0.063,0.048,3.15,1.23,0.212,0.113,0.362,0.0,0.31,オリックス,2009
阿部真宏,0.264,46.0,182.0,148.0,39.0,1.0,23.0,13.0,10.0,1.0,54.0,1.0,1.0,18.0,1.0,19.0,14.0,4.0,0.345,0.365,0.71,19.49,0.467,0.247,4.08,0.101,0.082,18.99,3.97,0.266,0.223,0.64,1.0,0.95,オリックス,2009
大村直之,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,-2.7,0.0,0.0,-0.18,-2.43,0.0,0.0,0.0,0.0,0.51,オリックス,2009
濱中治,0.143,4.0,14.0,14.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.143,0.214,0.357,0.08,0.214,0.118,0.18,0.071,0.0,0.11,0.25,0.2,0.071,0.25,0.0,0.0,オリックス,2009
ローズ,0.308,84.0,346.0,295.0,91.0,22.0,62.0,41.0,15.0,0.0,172.0,1.0,0.0,44.0,4.0,74.0,0.0,5.0,0.402,0.583,0.985,66.61,0.596,0.327,8.44,0.275,0.093,65.16,8.26,0.342,0.42,1.043,0.0,0.59,オリックス,2009
大引啓次,0.224,110.0,432.0,352.0,79.0,6.0,20.0,39.0,12.0,1.0,111.0,1.0,6.0,46.0,3.0,74.0,28.0,8.0,0.317,0.315,0.632,38.62,0.422,0.221,3.33,0.091,0.092,39.85,3.44,0.241,0.236,0.585,6.0,0.62,オリックス,2009
前田大輔,0.05,12.0,24.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.095,0.05,0.145,-0.99,0.112,0.055,-1.21,0.0,0.045,-0.79,-0.97,0.056,0.05,0.105,0.0,0.2,オリックス,2009
北川博敏,0.221,59.0,159.0,140.0,31.0,1.0,11.0,9.0,6.0,0.0,40.0,0.0,0.0,17.0,0.0,23.0,0.0,3.0,0.302,0.286,0.588,12.45,0.397,0.207,2.95,0.064,0.08,13.18,3.12,0.254,0.186,0.509,0.0,0.74,オリックス,2009
迎祐一郎,0.167,3.0,9.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.286,0.167,0.452,0.44,0.341,0.17,1.71,0.0,0.119,0.47,1.81,0.125,0.167,0.4,0.0,0.5,オリックス,2009
日高剛,0.239,52.0,122.0,117.0,28.0,1.0,8.0,4.0,5.0,1.0,38.0,0.0,0.0,3.0,0.0,33.0,1.0,1.0,0.256,0.325,0.581,9.22,0.364,0.196,2.71,0.085,0.017,9.37,2.75,0.318,0.111,0.456,0.0,0.09,オリックス,2009
