player,bougyoritsu,shiai,shouri,haiboku,saves,hold,hp,kanntou,shouritsu,dasha,toukyuukai,hiannda,hihonnruida,sikyuu,deadball,datsusannshinn,datsusannshinnritsu,shitten,jisekitenn,kannpuu,mushikyuu,whip,dips,kbb,pfr,hidr,team,year
能見篤史,2.56,45.0,4.0,3.0,1.0,16.0,20.0,0.0,0.571,229.0,56.1,40.0,5.0,19.0,3.0,48.0,7.67,23.0,16.0,0.0,0.0,1.05,3.74,2.53,1.19,0.807,阪神,2017
横山雄哉,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,5.0,6.0,0.0,2.0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,1.6,2.32,2.5,1.4,0.875,阪神,2017
安藤優也,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,42.12,2.0,0.0,0.784,阪神,2017
岩貞祐太,3.48,23.0,7.0,10.0,0.0,0.0,0.0,1.0,0.412,554.0,132.0,128.0,18.0,32.0,1.0,122.0,8.32,56.0,51.0,0.0,0.0,1.21,3.79,3.81,1.17,0.769,阪神,2017
藤浪晋太郎,5.32,13.0,5.0,3.0,0.0,0.0,0.0,1.0,0.625,326.0,71.0,70.0,5.0,47.0,4.0,70.0,8.87,45.0,42.0,1.0,0.0,1.65,4.22,1.49,1.65,0.681,阪神,2017
メンデス,6.52,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,9.2,12.0,1.0,3.0,1.0,9.0,8.38,9.0,7.0,0.0,0.0,1.55,3.84,3.0,1.24,0.6,阪神,2017
岩田稔,3.23,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,129.0,30.2,25.0,4.0,9.0,3.0,29.0,8.51,13.0,11.0,0.0,0.0,1.11,3.9,3.22,1.24,0.788,阪神,2017
藤川球児,2.32,53.0,5.0,3.0,2.0,21.0,26.0,0.0,0.625,229.0,54.1,29.0,3.0,37.0,1.0,67.0,11.1,20.0,14.0,0.0,0.0,1.21,3.25,1.81,1.91,0.828,阪神,2017
歳内宏明,3.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,41.0,9.0,8.0,1.0,5.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,1.44,5.56,0.6,0.89,0.833,阪神,2017
小野泰己,4.77,23.0,7.0,7.0,0.0,0.0,0.0,0.0,0.5,573.0,126.1,133.0,10.0,81.0,3.0,96.0,6.84,71.0,67.0,0.0,0.0,1.69,4.58,1.19,1.4,0.725,阪神,2017
石崎剛,4.2,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.0,15.0,10.0,2.0,10.0,1.0,23.0,13.8,7.0,7.0,0.0,0.0,1.33,3.99,2.3,2.2,0.737,阪神,2017
高宮和也,6.39,16.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,64.0,12.2,19.0,1.0,7.0,0.0,10.0,7.11,9.0,9.0,0.0,0.0,2.05,4.23,1.43,1.34,0.68,阪神,2017
才木浩人,4.61,22.0,6.0,10.0,0.0,1.0,2.0,0.0,0.375,368.0,82.0,81.0,12.0,38.0,5.0,85.0,9.33,46.0,42.0,0.0,0.0,1.45,4.52,2.24,1.5,0.732,阪神,2017
浜地真澄,6.11,21.0,2.0,1.0,0.0,0.0,2.0,0.0,0.667,128.0,28.0,35.0,4.0,8.0,0.0,27.0,8.68,21.0,19.0,0.0,0.0,1.54,3.69,3.38,1.25,0.615,阪神,2017
