player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
大島裕行,0.222,5.0,9.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.222,0.333,0.556,0.61,0.333,0.183,2.37,0.111,0.0,0.57,2.2,0.333,0.111,0.429,0.0,0.0,西武,2010
フェルナンデス,0.259,142.0,577.0,529.0,137.0,17.0,81.0,49.0,21.0,0.0,209.0,3.0,3.0,39.0,2.0,84.0,0.0,19.0,0.308,0.395,0.704,60.4,0.44,0.238,3.87,0.136,0.05,61.87,3.97,0.276,0.21,0.604,5.1,0.46,西武,2010
石川貢,0.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.091,0.0,0.091,-1.05,0.091,0.041,-2.57,0.0,0.091,-0.9,-2.21,0.0,-0.1,0.0,0.0,0.0,西武,2010
黒瀬春樹,0.278,8.0,19.0,18.0,5.0,0.0,0.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.278,0.389,0.667,1.59,0.407,0.222,2.86,0.111,0.0,1.42,2.56,0.313,0.111,0.5,0.0,0.0,西武,2010
松坂健太,0.167,23.0,43.0,36.0,6.0,1.0,5.0,7.0,2.0,0.0,11.0,0.0,2.0,3.0,3.0,8.0,1.0,0.0,0.286,0.306,0.591,3.91,0.388,0.205,3.4,0.139,0.119,4.06,3.54,0.179,0.278,0.633,1.33,0.38,西武,2010
中村剛也,0.265,97.0,392.0,355.0,94.0,28.0,74.0,53.0,14.0,1.0,194.0,0.0,1.0,33.0,2.0,112.0,0.0,11.0,0.329,0.546,0.876,60.59,0.511,0.285,5.97,0.282,0.064,61.3,6.04,0.304,0.377,0.846,1.93,0.29,西武,2010
吉見太一,0.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.2,-0.43,0.2,0.09,-2.33,0.0,0.2,-0.39,-2.11,0.0,0.0,0.2,0.0,0.0,西武,2010
中田祥多,0.0,8.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.182,0.0,0.182,-0.28,0.182,0.082,-0.75,0.0,0.182,-0.13,-0.35,0.0,0.222,0.222,0.0,0.4,西武,2010
斉藤彰吾,0.241,59.0,104.0,87.0,21.0,1.0,8.0,20.0,5.0,0.0,29.0,1.0,4.0,8.0,4.0,28.0,4.0,2.0,0.33,0.333,0.663,10.5,0.441,0.232,3.83,0.092,0.089,10.65,3.89,0.317,0.218,0.638,1.6,0.29,西武,2010
梅田尚通,0.182,4.0,12.0,11.0,2.0,1.0,4.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.25,0.455,0.705,0.94,0.402,0.226,2.54,0.273,0.068,1.13,3.05,0.143,0.273,0.5,0.0,0.33,西武,2010
